,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
1471,Acepromazine has a role in antipsychotics.,A chemical compound has a role in a medication.,What chemical compound has a role in a medication?,What is the relation between a chemical compound and a medication?,What medication does a chemical compound have a role in?,Chemical
1472,"Chrysolaminarin has a melting point of 273 degree Celsius.
",A chemical compound has a melting point of x.,What chemical compound has a melting point of x?,What is the relation between a chemical compound and a melting point?,What melting point does a chemical compound have?,Chemical
1473,"Chrysolaminarin has a melting point of 273 degree Celsius.
",A chemical compound has a melting point of x.,What chemical compound has a melting point of x?,What is the relation between a chemical compound and a melting point?,What melting point does a chemical compound have?,Chemical
1474,"
The human chromosome 14 is the MIR134 chromosome.",A human chromosome is a RNA chromosome.,What human chromosome is a RNA chromosome?,What is the relation between a human chromosome and a RNA chromosome?,What RNA chromosome is a human chromosome?,Chemical
1475,"
The human chromosome 14 is the MIR134 chromosome.",A human chromosome is a RNA chromosome.,What human chromosome is a RNA chromosome?,What is the relation between a human chromosome and a RNA chromosome?,What RNA chromosome is a human chromosome?,Chemical
1476,"MIR541 has a forward strand orientation.
",A RNA has an orientation.,What RNA has an orientation?,What is the relation between a RNA and an orientation?,What orientation does a RNA have?,Chemical
1477,"MIR541 has a forward strand orientation.
",A RNA has an orientation.,What RNA has an orientation?,What is the relation between a RNA and an orientation?,What orientation does a RNA have?,Chemical
1478,Hsa-mir-7973-2 has a genomic start of 51314032.,A microRNA has a genomic start x.,What microRNA has a genomic start x?,What is the relation between a microRNA and a genomic start?,What genomic start does a microRNA have?,Chemical
1479,Hsa-mir-7973-2 has a genomic start of 51314032.,A microRNA has a genomic start x.,What microRNA has a genomic start x?,What is the relation between a microRNA and a genomic start?,What genomic start does a microRNA have?,Chemical
1480,EGFR-AS1 has a genomic end of 55256627.,A RNA has a genomic end of x.,What RNA has a genomic end x?,What is the relation between a RNA and a genomic end?,What genomic end does a RNA have?,Chemical
1481,EGFR-AS1 has a genomic end of 55256627.,A RNA has a genomic end of x.,What RNA has a genomic end x?,What is the relation between a RNA and a genomic end?,What genomic end does a RNA have?,Chemical
1482,LINC01216 is expressed in putamen.,A RNA is expressed in a structure.,What RNA is expressed in a structure?,What is the relation between a RNA and a structure?,What structure is a RNA expressed in?,Chemical
1483,LINC01216 is expressed in putamen.,A RNA is expressed in a structure.,What RNA is expressed in a structure?,What is the relation between a RNA and a structure?,What structure is a RNA expressed in?,Chemical
1484,"Pharmacokinetics and pharmacodynamics of 3,4-methylenedioxymethamphetamine 
(MDMA): interindividual differences due to polymorphisms and drug-drug interactions. 
It cites work on Patterns of ecstasy-associated hyponatremia in California.
",An article cites work on an article.,What article cites work on an article?,What is the relation between two articles?,What articles does an article cite on?,Chemical
1485,"Pharmacokinetics and pharmacodynamics of 3,4-methylenedioxymethamphetamine 
(MDMA): interindividual differences due to polymorphisms and drug-drug interactions. 
It cites work on Patterns of ecstasy-associated hyponatremia in California.
",An article cites work on an article.,What article cites work on an article?,What is the relation between two articles?,What articles does an article cite on?,Chemical
1486,"SCD163:MYH9 [cytosol] is part of sCD163 and it binds MYH9 in T-cells.
",A micromolecular complex is part of a reaction.,What micromolecular complex is part of a reaction?,What is the relation between a micromolecular complex and a reaction?,What reaction is a micromolecular complex a part of?,Chemical
1487,"SCD163:MYH9 [cytosol] is part of sCD163 and it binds MYH9 in T-cells.
",A micromolecular complex is part of a reaction.,What micromolecular complex is part of a reaction?,What is the relation between a micromolecular complex and a reaction?,What reaction is a micromolecular complex a part of?,Chemical
1488,"The cytogenetic location of MIR1913 is 6q27.
",The cytogenetic location of a RNA is x.,What RNA has a cytogenic location of x?,What is the relation between a RNA and a cytogenic location?,What cytogenic location does a RNA have?,Chemical
1489,"The cytogenetic location of MIR1913 is 6q27.
",The cytogenetic location of a RNA is x.,What RNA has a cytogenic location of x?,What is the relation between a RNA and a cytogenic location?,What cytogenic location does a RNA have?,Chemical
1490,"Benzamide, N-[9-(2-O-methyl-β-D-arabinofuranosyl)-9H-purin-6-yl]- is in the catalog of 
CAS COVID-19 Anti-Viral Candidate Compounds.
",A chemical compound is in a catalog x.,What chemical compound is in a catalog x?,What is the relation between a chemical compound and a catalog?,What catalog is a chemical compound in?,Chemical
1491,"Benzamide, N-[9-(2-O-methyl-β-D-arabinofuranosyl)-9H-purin-6-yl]- is in the catalog of 
CAS COVID-19 Anti-Viral Candidate Compounds.
",A chemical compound is in a catalog x.,What chemical compound is in a catalog x?,What is the relation between a chemical compound and a catalog?,What catalog is a chemical compound in?,Chemical
1492,"HOXB1:PBX1:PKNOX1 and MEIS1 at active HOXB1 chromatin [nucleoplasm] 
has part of HOXB1:PBX1:PKNOX1 [nucleoplasm].
",A macromolecular complex has part a macromolecular complex.,What macromolecular complex has part a macromolecular complex?,What is the relation between two macromolecular complexes?,What macromolecular complex is a macromolecular complex a part of?,Chemical
1493,"HOXB1:PBX1:PKNOX1 and MEIS1 at active HOXB1 chromatin [nucleoplasm] 
has part of HOXB1:PBX1:PKNOX1 [nucleoplasm].
",A macromolecular complex has part a macromolecular complex.,What macromolecular complex has part a macromolecular complex?,What is the relation between two macromolecular complexes?,What macromolecular complex is a macromolecular complex a part of?,Chemical
1494,The isotretinoin anisatil has a mass of 448.261 dalton.,A chemical compound has a mass of x.,What chemical compound has a mass x?,What is the relation between a chemical compound and a mass?,What mass does a chemical compound have?,Chemical
1495,The isotretinoin anisatil has a mass of 448.261 dalton.,A chemical compound has a mass of x.,What chemical compound has a mass x?,What is the relation between a chemical compound and a mass?,What mass does a chemical compound have?,Chemical
1496,"Hsa-miR-1307-3p regulates (molecular biology) IL6R.
",A microRNA regulates a gene.,What microRNA regulates a gene?,What is the relation between a microRNA and a gene?,What gene does a microRNA regulate?,Chemical
1497,"Hsa-miR-1307-3p regulates (molecular biology) IL6R.
",A microRNA regulates a gene.,What microRNA regulates a gene?,What is the relation between a microRNA and a gene?,What gene does a microRNA regulate?,Chemical
1498,"2R,3R,5S,6R)-3-amino-6-methyloxane-2,5-diol are isomeric SMILES. C[C@@H]1[C@H]([C@@H]
(O1)O)N)O.
",-,-,-,-,Chemical
1499,"2R,3R,5S,6R)-3-amino-6-methyloxane-2,5-diol are isomeric SMILES. C[C@@H]1[C@H]([C@@H]
(O1)O)N)O.
",-,-,-,-,Chemical
1500,B430212C06Rik is found in the taxon house mouse.,A RNA is found in a taxon mammal.,What RNA is found in a taxon mammal?,What is the relation between a RNA and a taxon mammal?,What taxon is a RNA found in?,Chemical
1501,B430212C06Rik is found in the taxon house mouse.,A RNA is found in a taxon mammal.,What RNA is found in a taxon mammal?,What is the relation between a RNA and a taxon mammal?,What taxon is a RNA found in?,Chemical
1502,"Methane, dichlorodinitro- is canonical SMILES. C([N+](=O)[O-])(Cl)Cl.",-,-,-,-,Chemical
1503,"Methane, dichlorodinitro- is canonical SMILES. C([N+](=O)[O-])(Cl)Cl.",-,-,-,-,Chemical
1504,"4-hydroxy-6-(prop-1-en-1-yl)pyran-2-one has the chemical formula of C8H8O3.
",A chemical compound has a chemical formula of x.,What chemical compound has a chemical formula of x?,What is the relation between a chemical compound and a chemical formula?,What chemical formula does a chemical compound have?,Chemical
1505,"4-hydroxy-6-(prop-1-en-1-yl)pyran-2-one has the chemical formula of C8H8O3.
",A chemical compound has a chemical formula of x.,What chemical compound has a chemical formula of x?,What is the relation between a chemical compound and a chemical formula?,What chemical formula does a chemical compound have?,Chemical
1506,Sadako Yamamura has the androgen insensitivity syndrome.,A fictional character has a syndrome.,Who has a syndrome?,What is the relation between a fictional character and a syndrome?,What syndrome does a fictional character have?,Comic
1507,Sadako Yamamura has the androgen insensitivity syndrome.,A fictional character has a syndrome.,Who has a syndrome?,What is the relation between a fictional character and a syndrome?,What syndrome does a fictional character have?,Comic
1508,Obelix has superhuman strength.,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
1509,Obelix has superhuman strength.,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
1510,Rei Ayanami is a mecha genre.,A fictional character is a genre. ,What is a genre?,What is the relation between a fictional character and a genre?,What genre is a fictional charcter?,Comic
1511,Rei Ayanami is a mecha genre.,A fictional character is a genre. ,What is a genre?,What is the relation between a fictional character and a genre?,What genre is a fictional charcter?,Comic
1512,Misato Katsuragi is the owner of Alpine A310.,A fictional character is the owner of a vehicle.,Who is the owner of a vehicle?,What is the relation between a fictional character and a vehicle?,What does a fictional character own?,Comic
1513,Misato Katsuragi is the owner of Alpine A310.,A fictional character is the owner of a vehicle.,Who is the owner of a vehicle?,What is the relation between a fictional character and a vehicle?,What does a fictional character own?,Comic
1514,Doctor Poison is a scientist.,A fictional character has a profession.,Who has a profession?,What is the relation between a fictional character and a profession?,What is the profession of a fictional character?,Comic
1515,Doctor Poison is a scientist.,A fictional character has a profession.,Who has a profession?,What is the relation between a fictional character and a profession?,What is the profession of a fictional character?,Comic
1516,Flatman's sexual orientation is homosexuality.,A fictional character's sexual orientation is a sexual orientation.,Who has a sexual orientation?,What is the relation between a fictional character and sexual orientation?,What is the sexual orientation of a fictional character?,Comic
1517,Flatman's sexual orientation is homosexuality.,A fictional character's sexual orientation is a sexual orientation.,Who has a sexual orientation?,What is the relation between a fictional character and sexual orientation?,What is the sexual orientation of a fictional character?,Comic
1518,Savita Bhabhi was published in Kirtu.,A fictional character is published in a website.,What is published in a website?,What is the relation between a fictional character and a website?,Where is a fictional character published?,Comic
1519,Savita Bhabhi was published in Kirtu.,A fictional character is published in a website.,What is published in a website?,What is the relation between a fictional character and a website?,Where is a fictional character published?,Comic
1520,Hachigen Ushouda's facial hair has a moustache.,A fictional character's facial hair is a facial hair.,What is facial hair?,What is the relation between a fictional character and facial hair?,What is a fictional character's facial hair?,Comic
1521,Hachigen Ushouda's facial hair has a moustache.,A fictional character's facial hair is a facial hair.,What is facial hair?,What is the relation between a fictional character and facial hair?,What is a fictional character's facial hair?,Comic
1522,Ulic Qel-Droma is a student at Exar Kun.,A fictional character is a student of a fictional character.,Who is a student of a fictional character?,What is the relation between two fictional characters?,What fictional character is a fictional character a student of?,Comic
1523,Ulic Qel-Droma is a student at Exar Kun.,A fictional character is a student of a fictional character.,Who is a student of a fictional character?,What is the relation between two fictional characters?,What fictional character is a fictional character a student of?,Comic
1524,Ranma Saotome is a girl.,A fictional character is a female human.,Who is a female human?,What is the relation between a fictional character and a female human?,What is a fictional character?,Comic
1525,Ranma Saotome is a girl.,A fictional character is a female human.,Who is a female human?,What is the relation between a fictional character and a female human?,What is a fictional character?,Comic
1526,Ellis' nickname is El.,A fictional character's nickname is a nickname.,What is a nickname?,What is the relation between a fictional character and a nickname?,What is the nickname of a fictional character?,Comic
1527,Ellis' nickname is El.,A fictional character's nickname is a nickname.,What is a nickname?,What is the relation between a fictional character and a nickname?,What is the nickname of a fictional character?,Comic
1528,S.H.I.E.L.D. is the employer of Black Widow.,A fictional agency is the employers of a fictional character.,What is a fictional agency?,What is the relation between a fictional character and a fictional agency?,Who is the employer of a fictional character?,Comic
1529,S.H.I.E.L.D. is the employer of Black Widow.,A fictional agency is the employers of a fictional character.,What is a fictional agency?,What is the relation between a fictional character and a fictional agency?,Who is the employer of a fictional character?,Comic
1530,Pete was published in 1925.,A fictional character is published in a time.,What is published in a time?,What is the relation between a fictional character and a time?,When is a fictional character published?,Comic
1531,Pete was published in 1925.,A fictional character is published in a time.,What is published in a time?,What is the relation between a fictional character and a time?,When is a fictional character published?,Comic
1532,Don Furcio Buscabollos started in 1947.,-,-,-,What started at a time?,Comic
1533,Don Furcio Buscabollos started in 1947.,-,-,-,What started at a time?,Comic
1534,Nick Fury was involved in the World War II.,A fictional character is involved in a war.,Who is involved in a war?,What is the relation between a fictional character and a war?,What was a fictional character involved in?,Comic
1535,Nick Fury was involved in the World War II.,A fictional character is involved in a war.,Who is involved in a war?,What is the relation between a fictional character and a war?,What was a fictional character involved in?,Comic
1536,Acrata has a mass of 57 kilograms.,A fictional character has a mass.,What has a mass?,What is the relation between a fictional character and a mass?,What is the mass of a fictional character?,Comic
1537,Acrata has a mass of 57 kilograms.,A fictional character has a mass.,What has a mass?,What is the relation between a fictional character and a mass?,What is the mass of a fictional character?,Comic
1538,Ion is the same as Kyle Rayner.,A fictional character is the same as a fictional character.,What is the same as a fictional character?,What is the relation between two fictional characters?,What is the same as a fictional character?,Comic
1539,Ion is the same as Kyle Rayner.,A fictional character is the same as a fictional character.,What is the same as a fictional character?,What is the relation between two fictional characters?,What is the same as a fictional character?,Comic
1540,Storm's noble title is a fictional princess.,A book character's noble title is a fictional title.,What is a fictional title?,What is the relation between a book character and a fictional title?,What is the fictional title of a book character?,Comic
1541,Storm's noble title is a fictional princess.,A book character's noble title is a fictional title.,What is a fictional title?,What is the relation between a book character and a fictional title?,What is the fictional title of a book character?,Comic
1542,Bart Allen is a sidekick of Wally West.,A comics character is a sidekick of a fictional character.,Who is a sidekick of a fictional character?,What is the relation between a comics character and a fictional character?,Who is the sidekick of a comics character?,Comic
1543,Bart Allen is a sidekick of Wally West.,A comics character is a sidekick of a fictional character.,Who is a sidekick of a fictional character?,What is the relation between a comics character and a fictional character?,Who is the sidekick of a comics character?,Comic
1544,Mitsuki Koyama is 12 years old.,A fictional character is a certain age.,Who is a certain age?,What is the relation between a fictional character and age?,What is the age of a fictional character?,Comic
1545,Mitsuki Koyama is 12 years old.,A fictional character is a certain age.,Who is a certain age?,What is the relation between a fictional character and age?,What is the age of a fictional character?,Comic
1546,Nagato's pseudonym is Pain.,A fictional character's pseudonym is a pseudonym.,What is a pseudonym?,What is the relation between a fictional character and a pseudonym?,What is the pseudonym of a fictional character?,Comic
1547,Nagato's pseudonym is Pain.,A fictional character's pseudonym is a pseudonym.,What is a pseudonym?,What is the relation between a fictional character and a pseudonym?,What is the pseudonym of a fictional character?,Comic
1548,Nick Fury is a member of the United States Army.,A fictional character is a member of an army.,Who is a member of an army?,What is the relation between a fictional character and an army?,What is a fictional character a member of?,Comic
1549,Nick Fury is a member of the United States Army.,A fictional character is a member of an army.,Who is a member of an army?,What is the relation between a fictional character and an army?,What is a fictional character a member of?,Comic
1550,Jason Bard is a police commissioner.,A fictional character is a chief manager.,Who is a chief manager?,What is the relation between a fictional character and a chief manager?,What is a fictional character?,Comic
1551,Jason Bard is a police commissioner.,A fictional character is a chief manager.,Who is a chief manager?,What is the relation between a fictional character and a chief manager?,What is a fictional character?,Comic
1552,Yukio Kasamatsu plays basketball.,A fictional character plays sport.,Who plays sport?,What is the relation between a fictional character and a sport?,What sport does a fictional character play?,Comic
1553,Yukio Kasamatsu plays basketball.,A fictional character plays sport.,Who plays sport?,What is the relation between a fictional character and a sport?,What sport does a fictional character play?,Comic
1554,Roko Sekino's name in kana is せきの ロコ.,A fictional character's name in kana is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the name in kana of a fictional character?,Comic
1555,Roko Sekino's name in kana is せきの ロコ.,A fictional character's name in kana is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the name in kana of a fictional character?,Comic
1556,Makoto Hyūga has the blood type B.,A character has a blood type.,Who has a blood type?,What is the relation between a character and a blood type?,What is the blood type of a character?,Comic
1557,Makoto Hyūga has the blood type B.,A character has a blood type.,Who has a blood type?,What is the relation between a character and a blood type?,What is the blood type of a character?,Comic
1558,Hildur is a significant person for Erik Linstett.,A fictional character is a significant person for a fictional character.,Who is a significant person for a fictional character?,What is the relation between two fictional characters?,What is a fictional character a significant person for?,Comic
1559,Hildur is a significant person for Erik Linstett.,A fictional character is a significant person for a fictional character.,Who is a significant person for a fictional character?,What is the relation between two fictional characters?,What is a fictional character a significant person for?,Comic
1560,Los señores de Alcorcón y el holgazán de Pepón is published by Editorial Bruguera.,-,What is published by a publisher?,-,-,Comic
1561,Los señores de Alcorcón y el holgazán de Pepón is published by Editorial Bruguera.,-,What is published by a publisher?,-,-,Comic
1562,The hairstyle of Mr. Satan is afro.,The hairstyle of a fictional character is a hairstyle.,What is a hairstyle?,What is the relation between a fictional character and a hairstyle?,What is the hairstyle of a fictional character?,Comic
1563,The hairstyle of Mr. Satan is afro.,The hairstyle of a fictional character is a hairstyle.,What is a hairstyle?,What is the relation between a fictional character and a hairstyle?,What is the hairstyle of a fictional character?,Comic
1564,Montgomery Scott's military rank is lieutenant junior grade.,A fictional character's military rank is a rank.,What is a rank?,What is the relation between a fictional character and a rank?,What is the military rank of a fictional character?,Comic
1565,Montgomery Scott's military rank is lieutenant junior grade.,A fictional character's military rank is a rank.,What is a rank?,What is the relation between a fictional character and a rank?,What is the military rank of a fictional character?,Comic
1566,Ayumi Yoshida was educated at Teitan Elementary School.,A fictional character is educated at a fictional school.,Who is educated at a fictional school?,What is the relation between a fictional character and a fictional school?,Where is a fictional character educated at?,Comic
1567,Ayumi Yoshida was educated at Teitan Elementary School.,A fictional character is educated at a fictional school.,Who is educated at a fictional school?,What is the relation between a fictional character and a fictional school?,Where is a fictional character educated at?,Comic
1568,Zarathos is a supervillain.,A character is a villain.,Who is a villain?,What is the relation between a fictional character and a villain?,What is a fictional character?,Comic
1569,Zarathos is a supervillain.,A character is a villain.,Who is a villain?,What is the relation between a fictional character and a villain?,What is a fictional character?,Comic
1570,Riko Suminoe's birthday is November 7.,A fictional character's birthday is on a time.,What is on a time?,What is the relation between a fictional character and a time?,When is the birthday of a fictional character?,Comic
1571,Riko Suminoe's birthday is November 7.,A fictional character's birthday is on a time.,What is on a time?,What is the relation between a fictional character and a time?,When is the birthday of a fictional character?,Comic
1572,Wingy Ames was founded in 1968.,A fictional character is founded in a time.,What is founded in a time?,What is the relation between a fictional character and a time?,When is a fictional character founded?,Comic
1573,Wingy Ames was founded in 1968.,A fictional character is founded in a time.,What is founded in a time?,What is the relation between a fictional character and a time?,When is a fictional character founded?,Comic
1574,Don Furcio Buscabollos is from Spain.,-,What is from a country?,-,-,Comic
1575,Don Furcio Buscabollos is from Spain.,-,What is from a country?,-,-,Comic
1576,Ochaco Uraraka has a height of 156 centimetres.,A fictional character has a height.,What has a hight?,What is the relation between a fictional character and a hight?,What is the height of a fictional character?,Comic
1577,Ochaco Uraraka has a height of 156 centimetres.,A fictional character has a height.,What has a hight?,What is the relation between a fictional character and a hight?,What is the height of a fictional character?,Comic
1578,Tenten is a student of Might Guy.,A fictional character is a student of a fictional character.,Who is a student of a fictional character?,What is the relation between two fictional characters?,Who does a fictional character has as a student?,Comic
1579,Tenten is a student of Might Guy.,A fictional character is a student of a fictional character.,Who is a student of a fictional character?,What is the relation between two fictional characters?,Who does a fictional character has as a student?,Comic
1580,Paige Matthews was born on 02/08/1977.,A fictional character is born on a time.,Who is born in a time?,What is the relation between a fictional character and a time?,When is a fictional character born?,Comic
1581,Paige Matthews was born on 02/08/1977.,A fictional character is born on a time.,Who is born in a time?,What is the relation between a fictional character and a time?,When is a fictional character born?,Comic
1582,Captain Harlock is part of the Harlock Saga.,A fictional character is part of manga.,Who is part of manga?,What is the relation between a fictional character and manga?,What is a fictional character part of?,Comic
1583,Captain Harlock is part of the Harlock Saga.,A fictional character is part of manga.,Who is part of manga?,What is the relation between a fictional character and manga?,What is a fictional character part of?,Comic
1584,Clayface's residence is in Gotham City.,A fictional character's residence is a fictional city.,Who's residence is a fictional city?,What is the relation between a fictional character and a fictional city?,What is the residence of a fictional character?,Comic
1585,Clayface's residence is in Gotham City.,A fictional character's residence is a fictional city.,Who's residence is a fictional city?,What is the relation between a fictional character and a fictional city?,What is the residence of a fictional character?,Comic
1586,Ted Grant is a relative of Wildcat.,A fictional character is a relative of a fictional character.,Who is a relative of a fictional character?,What is the relation between two fictional characters?,Who is a relative of a fictional character?,Comic
1587,Ted Grant is a relative of Wildcat.,A fictional character is a relative of a fictional character.,Who is a relative of a fictional character?,What is the relation between two fictional characters?,Who is a relative of a fictional character?,Comic
1588,David Banner was inspired by Absorbing Man.,A fictional character is inspired from a fictional character.,Who is inspired from a fictional character?,What is the relation between two fictional characters?,Who is a fictional character inspired from?,Comic
1589,David Banner was inspired by Absorbing Man.,A fictional character is inspired from a fictional character.,Who is inspired from a fictional character?,What is the relation between two fictional characters?,Who is a fictional character inspired from?,Comic
1590,Bowsette wears a crown.,A fictional character wears a headwear.,Who wears a headwear?,What is the relation between a fictional character and a headwear?,What does a fictional character wear?,Comic
1591,Bowsette wears a crown.,A fictional character wears a headwear.,Who wears a headwear?,What is the relation between a fictional character and a headwear?,What does a fictional character wear?,Comic
1592,Keita Suminoe is from the ethnic group of Japanese people.,A fictional character is from an ethnic group. ,Who is from an ethnic group?,What is the relation between a fictional character and an ethnic group?,What ethnic group is a fictional character from?,Comic
1593,Keita Suminoe is from the ethnic group of Japanese people.,A fictional character is from an ethnic group. ,Who is from an ethnic group?,What is the relation between a fictional character and an ethnic group?,What ethnic group is a fictional character from?,Comic
1594,Sarah Stacy's mother is Gwen Stacy.,A fictional character's mother is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is the mother of a fictional character?,Comic
1595,Sarah Stacy's mother is Gwen Stacy.,A fictional character's mother is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is the mother of a fictional character?,Comic
1596,Ai Haibara is named after Maurice Leblanc.,A fictional character is named after a fictional character.,What is named after a fictional character?,What is the relation between fictional characters?,Who is a fictional character named after?,Comic
1597,Ai Haibara is named after Maurice Leblanc.,A fictional character is named after a fictional character.,What is named after a fictional character?,What is the relation between fictional characters?,Who is a fictional character named after?,Comic
1598,Norm Ferguson is a contributor to the creative work or subject of Pluto.,A person is a contributor to the creative work or subject of a fictional character.,Who is a contributor to the creative work or subject of a fictional character?,What is the relation between a person and a fictional character?,What is a person a contributor to the creative work or subject?,Comic
1599,Norm Ferguson is a contributor to the creative work or subject of Pluto.,A person is a contributor to the creative work or subject of a fictional character.,Who is a contributor to the creative work or subject of a fictional character?,What is the relation between a person and a fictional character?,What is a person a contributor to the creative work or subject?,Comic
1600,Mitsu first appeared in Teenage Mutant Ninja Turtles III.,A fictional character first appeared in a film.,Who first appeared in a film?,What is the relation between a fictional character and a film?,Where did a fictional character first appear?,Comic
1601,Mitsu first appeared in Teenage Mutant Ninja Turtles III.,A fictional character first appeared in a film.,Who first appeared in a film?,What is the relation between a fictional character and a film?,Where did a fictional character first appear?,Comic
1602,Snow White is based on Snow White.,A fictional princess is based on a book character.,Who is based on a book character?,What is the relation between a fictional princess and a book character?,What is a fictional princess based on?,Comic
1603,Snow White is based on Snow White.,A fictional princess is based on a book character.,Who is based on a book character?,What is the relation between a fictional princess and a book character?,What is a fictional princess based on?,Comic
1604,Captain Marvel is a derivative work of Adventures of Captain Marvel.,A fictional character is a derivative work of a series.,What is a derivative work of a series?,What is the relation between a fictional character and a series?,What is a fictional character a derivative work of?,Comic
1605,Captain Marvel is a derivative work of Adventures of Captain Marvel.,A fictional character is a derivative work of a series.,What is a derivative work of a series?,What is the relation between a fictional character and a series?,What is a fictional character a derivative work of?,Comic
1606,Amelia Voght is the unmarried partner of Professor X.,A book character is the unmarried partner of a character.,Who is the unmarried partner of a character?,What is the relation between characters?,Who is a book character the unmarried partner of?,Comic
1607,Amelia Voght is the unmarried partner of Professor X.,A book character is the unmarried partner of a character.,Who is the unmarried partner of a character?,What is the relation between characters?,Who is a book character the unmarried partner of?,Comic
1608,Count Vertigo's narrative role is a henchperson.,A fictional character's narrative role is a role.,What is a role?,What is the relation between a fictional character and a role?,What is a fictional character's narrative role?,Comic
1609,Count Vertigo's narrative role is a henchperson.,A fictional character's narrative role is a role.,What is a role?,What is the relation between a fictional character and a role?,What is a fictional character's narrative role?,Comic
1610,Heimdall is different from Heimdall.,A fictional character is different from a fictional character.,What is different from a fictional character?,What is the relation between fictional characters?,What is different from a fictional character?,Comic
1611,Heimdall is different from Heimdall.,A fictional character is different from a fictional character.,What is different from a fictional character?,What is the relation between fictional characters?,What is different from a fictional character?,Comic
1612,Sodam Yat's home world is Daxam.,A fictional character's home world is a fictional planet.,What is a fictional planet?,What is the relation between a fictional character and a fictional planet?,What is the home world of a fictional character?,Comic
1613,Sodam Yat's home world is Daxam.,A fictional character's home world is a fictional planet.,What is a fictional planet?,What is the relation between a fictional character and a fictional planet?,What is the home world of a fictional character?,Comic
1614,Tsutomu Akai's spouse is Mary Sera.,A fictional character's wife is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's wife?,Comic
1615,Tsutomu Akai's spouse is Mary Sera.,A fictional character's wife is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's wife?,Comic
1616,Francine Langstrom's birth name is Francine Evelyn Lee.,A fictional character's birth name is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the birth name of a fictional character?,Comic
1617,Francine Langstrom's birth name is Francine Evelyn Lee.,A fictional character's birth name is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the birth name of a fictional character?,Comic
1618,Storm was born in New York City.,A fictional character is born in a city.,Who is born in a city?,What is the relation between a fictional character and a city?,Where is a fictional character born in?,Comic
1619,Storm was born in New York City.,A fictional character is born in a city.,Who is born in a city?,What is the relation between a fictional character and a city?,Where is a fictional character born in?,Comic
1620,Superman's father is Jonathan Kent.,A fictional character's father is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's father?,Comic
1621,Superman's father is Jonathan Kent.,A fictional character's father is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's father?,Comic
1622,John Stewart's native language is American English.,A fictional character's native language is a language.,What is a language?,What is the relation between a fictional character and a language?,What is the native language of a fictional character?,Comic
1623,John Stewart's native language is American English.,A fictional character's native language is a language.,What is a language?,What is the relation between a fictional character and a language?,What is the native language of a fictional character?,Comic
1624,Keiko Honda's eye color is black.,A fictional character's eye color is a color.,What is a color?,What is the relation between a fictional character and a color?,What is the eye color of a fictional character?,Comic
1625,Keiko Honda's eye color is black.,A fictional character's eye color is a color.,What is a color?,What is the relation between a fictional character and a color?,What is the eye color of a fictional character?,Comic
1626,Nagato's hair color is red hair.,A fictional character's hair color is a color.,What is a color?,What is the relation between a fictional character and a color?,What color is a fictional character's hair?,Comic
1627,Nagato's hair color is red hair.,A fictional character's hair color is a color.,What is a color?,What is the relation between a fictional character and a color?,What color is a fictional character's hair?,Comic
1628,Teddy is a child of Bamse.,A fictional character is a child of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a child of a fictional character?,Comic
1629,Teddy is a child of Bamse.,A fictional character is a child of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a child of a fictional character?,Comic
1630,Vinsmoke Reiju is a sibling of Vinsmoke Niji.,A fictional character is a sibling of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a sibling of a fictional character?,Comic
1631,Vinsmoke Reiju is a sibling of Vinsmoke Niji.,A fictional character is a sibling of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a sibling of a fictional character?,Comic
1632,Kismet is the enemy of Imperiex.,-,-,-,-,Comic
1633,Kismet is the enemy of Imperiex.,-,-,-,-,Comic
1634,Yugito Nii is a media franchise of Naruto.,A franchise is a media franchise of a fictional character.,What is a franchise a media franchise of?,What is the relation between a fictional character and a franchise?,What is the media franchise of a fictional character?,Comic
1635,Yugito Nii is a media franchise of Naruto.,A franchise is a media franchise of a fictional character.,What is a franchise a media franchise of?,What is the relation between a fictional character and a franchise?,What is the media franchise of a fictional character?,Comic
1636,"Kryptonian is one of the languages spoken, written or signed in Alura In-Ze.","A fictional language is one of the language spoken, written or signed in a fictional character.",What is a fictional language?,What is the relation between a fictional character and a fictional language?,"What is spoken, written or signed by a fictional character?",Comic
