,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
1563,Andersen-Nexö-Straße is a native label.,What is the name of the native label?,What is Andersen-Nexö-Straße?,What is the name of the native label?,Street,-,-,-,-,Street
1564,Tyynylaavankuja started on 09/10/1997.,What is the name of the project that started on 09/10/1997?,,When did Tyynylaavankuja start?,Street,An alley started on a time.,What alley started on a time?,What is the relation between an alley and a time?,What time did an alley start on?,Street
1565,Tyynylaavankuja started on 09/10/1997.,What is the name of the project that started on 09/10/1997?,,When did Tyynylaavankuja start?,Street,An alley started on a date.,-,What is the relation between an alley and a date?,When has an alley started?,Street
1566,The street key for Tulpenstrasse is 2049.,What is the street key for?,What is the street key for Tulpenstrasse?,What is the street key for Tulpenstrasse?,Street,The street key for a street is a number.,What street is a number a street key?,What is the relation between a street and a number?,What number is the street key of a street?,Street
1567,The street key for Tulpenstrasse is 2049.,What is the street key for?,What is the street key for Tulpenstrasse?,What is the street key for Tulpenstrasse?,Street,A street is related to a street key,What a street key is related to?,What is the relation between a street and a street key?,What is a street related to?,Street
1568,Rijksweg nr. 1 is part of the A1 motorway.,What is part of the A1 motorway?,What part of the A1 motorway is Rijksweg nr. 1?,What motorway is Rijksweg nr. 1 part of?,Street,A street is part of a highway.,What street is part of a highway?,What is the relation between a street and a highway?,What highway is a street a part of?,Street
1569,Rijksweg nr. 1 is part of the A1 motorway.,What is part of the A1 motorway?,What part of the A1 motorway is Rijksweg nr. 1?,What motorway is Rijksweg nr. 1 part of?,Street,A street is part of a highway,What is part of a highway?,What is the relation between a street and a highway?,What is a street part of?,Street
1570,Spireastraat was founded on 26/06/1951.,What was the name of the organization that was founded in 1951?,What was the first year of the Spireastraat?,When was Spireastraat founded?,Street,A street was founded on a time.,What street was founded on a time?,What is the relation between a street and a time?,What time was a street founded on?,Street
1571,Spireastraat was founded on 26/06/1951.,What was the name of the organization that was founded in 1951?,What was the first year of the Spireastraat?,When was Spireastraat founded?,Street,A street was founded on a date,What was founded on a date?,What is the relation between a street and a date?,When was a street founded?,Street
1572,The length of Улица Гладкова is 960 metres.,What is the length of?,,,Street,The length of a street is x meters.,What street has a length of x meters?,What is the relation between a street and x meters?,How many meters is the length of a street?,Street
1573,The length of Улица Гладкова is 960 metres.,What is the length of?,,,Street,The length of a street is an amount of metres,What an amount of metres is the length of?,What is the relation between a street and an amount of metres?,What is the length of a street?,Street
1574,Rue Raynouard has a border with rue Lyautey.,What has a border with rue Lyautey?,What does rue Raynouard share with rue Lyautey?,What is the border of Rue Raynouard and?,Street,A street has a border with a street.,What street has a border with a street?,What is the relation between two streets?,What street has a border with a street?,Street
1575,Rue Raynouard has a border with rue Lyautey.,What has a border with rue Lyautey?,What does rue Raynouard share with rue Lyautey?,What is the border of Rue Raynouard and?,Street,A street has a border with a street,What a street has a border with?,What is the relation between a street and a street?,What a street has a border with?,Street
1576,Tzschimmerstraße is connected to Wormser Straße.,What is connected to Wormser Straße?,What is the connection between Tzschimmerstraße and Wormser Straße?,What is Tzschimmerstraße connected to?,Street,A street is connected to a street.,What street is connected to a street?,What is the relation between two streets?,What street is a street connected to?,Street
1577,Tzschimmerstraße is connected to Wormser Straße.,What is connected to Wormser Straße?,What is the connection between Tzschimmerstraße and Wormser Straße?,What is Tzschimmerstraße connected to?,Street,A street is connected to a street.,What is connected to a street?,What is the relation between a street and a street.,What is connected to a street?,Street
1578,Rudolf Harbig-Straße is named after Rudolf Harbig.,What is the street named after Rudolf Harbig?,Who is Rudolf Harbig-Straße named after?,Who is Rudolf Harbig-Straße named after?,Street,A street is named after a person.,What street is named after a person?,What is the relation between a street and a person?,What person is a street named after?,Street
1579,Rudolf Harbig-Straße is named after Rudolf Harbig.,What is the street named after Rudolf Harbig?,Who is Rudolf Harbig-Straße named after?,Who is Rudolf Harbig-Straße named after?,Street,A street is named after a person,What is named after a person?,What is the relation between a street and a person?,What a street is named after?,Street
1580,The official name of Cvokařská is Cvokařská.,What is the official name of Cvoka<unk>ská?,,,Street,The official name of a street is a name.,What street has an official name a name?,What is the relation between a street and a name?,What name does a street have an official name?,Street
1581,The official name of Cvokařská is Cvokařská.,What is the official name of Cvoka<unk>ská?,,,Street,A street has as official name a name,What a name is the official name of?,What is the relation between a street and a name?,What is the official name of a street?,Street
1582,Lange Sloot is located in Velserbroek.,What is the name of the town in Velserbroek?,What is Lange Sloot's address?,Where is Lange Sloot located?,Street,A street is located in a village.,What street is located in a village?,What is the relation between a street and a village?,What village is a street located in?,Street
1583,Lange Sloot is located in Velserbroek.,What is the name of the town in Velserbroek?,What is Lange Sloot's address?,Where is Lange Sloot located?,Street,A street is located in a village,What is located in a village?,What is the relation between a street and a village?,Where is a street located?,Street
1584,"Foudering, Wergea is the street address of Foudering.",What is the street address of?,,What is the street address of Foudering?,Street,Address is the street address of a street.,What address is the street address of a street?,What is the relation between an address and a street?,What street is an address a street address of?,Street
1585,"Foudering, Wergea is the street address of Foudering.",What is the street address of?,,What is the street address of Foudering?,Street,-,-,-,-,Street
1586,Steinbacher Straße is located in Germany.,What is the name of the street located in Germany?,What country is Steinbacher Straße located in?,Where is Steinbacher Straße located?,Street,A street is located in a country.,What street is located in a country?,What is the relation between a street and a country?,What country is a street located in?,Street
1587,Steinbacher Straße is located in Germany.,What is the name of the street located in Germany?,What country is Steinbacher Straße located in?,Where is Steinbacher Straße located?,Street,A street is located in a country,What is located in a country?,What is the relation between a street and a country?,Where is a street located?,Street
1588,Kose põik is located in the administrative territorial entity of Tallinn City.,What is the name of the city in Tallinn?,,,Street,A street is located in a municipality.,What street is located in a municipality?,What is the relation between a street and a municipality?,What municipality is a street located in?,Street
1589,Kose põik is located in the administrative territorial entity of Tallinn City.,What is the name of the city in Tallinn?,,,Street,A street is located in a municipality,What is located in a municipality?,What is the relation between a street and a municipality?,Where is a street located?,Street
1590,The postal code for Kostelní is 410 02.,What is the postal code for?,,,Street,The postal code for a street is a code.,What street is a code a postal code of?,What is the relation between a street and a postal code?,What code is the postal code of a street?,Street
1591,The postal code for Kostelní is 410 02.,What is the postal code for?,,,Street,A street has a postal code ,What is a postal code the postal code of?,What is the relation between a street and a postal code?,-,Street
1592,Evil-Lyn plays the henchperson role.,Who plays the henchperson role?,What role does Evil-Lyn play?,Evil-Lyn plays what role?,Astronaut,A fictional character plays a role.,What fictional character plays a role?,What is the relation between a fictional character and a role?,What role does a fictional character play?,Astronaut
1593,Evil-Lyn plays the henchperson role.,Who plays the henchperson role?,What role does Evil-Lyn play?,Evil-Lyn plays what role?,Astronaut,A fictional character plays a stock character.,Who plays a stock character?,What is the relationship between a fictional character and a stock character?,What does a fictional character play?,Astronaut
1594,Léopold Eyharts is nicknamed Leo.,Who is nicknamed Leo?,What is Leopold Eyharts's nickname?,What is Léopold Eyharts nickname?,Astronaut,A person is nicknamed a name.,What person is nicknamed a name?,What is the relation between a person and a name?,What nickname does a person have?,Astronaut
1595,Léopold Eyharts is nicknamed Leo.,Who is nicknamed Leo?,What is Leopold Eyharts's nickname?,What is Léopold Eyharts nickname?,Astronaut,An astronaut is nicknamed Leo.,Who is nicknamed Leo?,What is the relationship of an astronaut and Leo?,What is an astronaut nicknamed?,Astronaut
1596,Michael J Adams was involved in the Korean War.,Who was involved in the Korean War?,What was the Korean War?,What war was Michael J Adams involved in?,Astronaut,A person was involved in a war.,What person was involved in a war?,What is the relation between a person and a war?,What is a person involved in?,Astronaut
1597,Michael J Adams was involved in the Korean War.,Who was involved in the Korean War?,What was the Korean War?,What war was Michael J Adams involved in?,Astronaut,An engineer was involved in a war.,Who was involved in a war?,What is the relationship between an engineer and war?,Where was an engineer involved?,Astronaut
1598,"Buzz Lightyear's catchphrase is ""To infinity, and beyond!"".","Who wrote the catchphrase ""To infinity, and beyond!""?",,What is Buzz Lightyear's catchphrase?,Astronaut,A fictional character's catchphrase is a phrase.,What fictional character's catchphrase is a phrase?,What is the relation between a fictional character and a phrase?,What phrase is the catchphrase of a fictional character?,Astronaut
1599,"Buzz Lightyear's catchphrase is ""To infinity, and beyond!"".","Who wrote the catchphrase ""To infinity, and beyond!""?",,What is Buzz Lightyear's catchphrase?,Astronaut,"A fictional character's catchphrase is ""To infinity, and beyond!""","What is ""To infinity, and beyond!""?","What is the relationship between a fictional character catchphrase and ""To infinity, and beyond!""?",What is a fictional character's catchphrase?,Astronaut
1600,Marc Garneau is a candidate in the 2019 Canadian federal election.,Who is the candidate for the 2019 Canadian federal election?,What is Garneau's goal in 2019?,What election is Marc Garneau a candidate for?,Astronaut,A person is a candidate in an election.,What person is a candidate in an election?,What is the relation between a person and an election?,What election is a person a candidate in?,Astronaut
1601,Marc Garneau is a candidate in the 2019 Canadian federal election.,Who is the candidate for the 2019 Canadian federal election?,What is Garneau's goal in 2019?,What election is Marc Garneau a candidate for?,Astronaut,An astronaut is a candidate in elections.,Who is a candidate in elections?,What is the relationship between a candidate and elections?,What is an astronaut?,Astronaut
1602,Harrison Schmitt is a creator of works protected by copyrights.,Who is a creator of works protected by copyrights?,What status does Harrison Schmitt hold?,What is Harrison Schmitt a creator of?,Astronaut,A person is a creator of a work.,What person is a creator of a work?,What is the relation between a person and a work?,What type of work is a person a creator of?,Astronaut
1603,Harrison Schmitt is a creator of works protected by copyrights.,Who is a creator of works protected by copyrights?,What status does Harrison Schmitt hold?,What is Harrison Schmitt a creator of?,Astronaut,An astronaut is a creator of copyrighted work. ,Who is a creator of copyrighted work?,What is the relationship between an astronaut and copyrighted work?,What is an astronaut a creator of?,Astronaut
1604,Michael S Hopkins' religion is Catholicism.,Whose religion is Catholicism?,What is the religion of Michael S. Hopkins?,What is Michael S Hopkins' religion?,Astronaut,A person's religion is a religion.,What person's religion is a religion?,What is the relation between a person and a religion?,What religion does a person have?,Astronaut
1605,Michael S Hopkins' religion is Catholicism.,Whose religion is Catholicism?,What is the religion of Michael S. Hopkins?,What is Michael S Hopkins' religion?,Astronaut,An astronaut's religion is Christianism,Whose religion is Chtistianism?,What is the relationship between an astronaut 's religion and Christianishm,What is the religion of an astronaut?,Astronaut
1606,Heike Walpot was a participant in the 1976 Summer Olympics.,Who participated in the 1976 Summer Olympics?,What was Heike Walpot's role in the 1976 Summer Olympics?,What was Heike Walpot a participant in?,Astronaut,A person was a participant in an olympic game.,What person was a participant in an olympic game?,What is the relation between a person and an olympic game?,What olympic game was a person a participant in?,Astronaut
1607,Heike Walpot was a participant in the 1976 Summer Olympics.,Who participated in the 1976 Summer Olympics?,What was Heike Walpot's role in the 1976 Summer Olympics?,What was Heike Walpot a participant in?,Astronaut,A pilot was a participant in the Olympic games,Who was a participant in the Olympic games?,What is the relationship between a pilot and the Olympic games?,Where was an astronaut a participant?,Astronaut
1608,"Jack Swigert's work location is Washington, D.C.","Who is based in Washington, D.C.?",,Where is Jack Swigert's office?,Astronaut,A person's work location is a city.,What person's work location is a city?,What is the relation between a person and a city?,What city is a person's work location?,Astronaut
1609,"Jack Swigert's work location is Washington, D.C.","Who is based in Washington, D.C.?",,Where is Jack Swigert's office?,Astronaut,An astronaut's work location is in the United States,Whose work location is in the United States?,What is the relationship between an astronaut and the United States?,Where is an astronaut's work location?,Astronaut
1610,Bill Anders has works in the collection of the Photography Collection of the New York Public Library.,Who has works in the Photography Collection of the New York Public Library?,What does Bill Anders do with the Photography Collection of the New York Public Library?,What collection of works does Bill Anders have?,Astronaut,New York Public Library.,New York Public Library.,New York Public Library.,New York Public Library.,Astronaut
1611,Bill Anders has works in the collection of the Photography Collection of the New York Public Library.,Who has works in the Photography Collection of the New York Public Library?,What does Bill Anders do with the Photography Collection of the New York Public Library?,What collection of works does Bill Anders have?,Astronaut,An astronaut has works in public libraries.,Who has works in public libraries?,What is the relationship between an astronaut and public libraries?,Where has an astronaut works?,Astronaut
1612,The Smurfs are the media franchise of Astro Smurf.,The Smurfs are the media franchise of what franchise?,What is the Smurfs?,What is the name of the media franchise of Astro Smurf?,Astronaut,A franchise is the media franchise of a fictional character.,What fictional character has a franchise?,What is the relation between a fictional character and a franchise?,What franchise does a fictional character have?,Astronaut
1613,The Smurfs are the media franchise of Astro Smurf.,The Smurfs are the media franchise of what franchise?,What is the Smurfs?,What is the name of the media franchise of Astro Smurf?,Astronaut,A comic is the media franchise of a smurfs character.,What is the media franchise of a smurfs character?,What is the relationship between a comic and a smurfs character?,What is the media franchise of a comic?,Astronaut
1614,Sergey Moshchenko's sport is skydiving.,Who is known for skydiving?,What is Sergey Moshchenko's hobby?,What is Sergey Moshchenko's sport?,Astronaut,A person's sport is a sport.,What person's sport is a sport?,What is the relation between a person and a sport?,What sport does a person play?,Astronaut
1615,Sergey Moshchenko's sport is skydiving.,Who is known for skydiving?,What is Sergey Moshchenko's hobby?,What is Sergey Moshchenko's sport?,Astronaut,An astronaut's sport is an extreme sport,Whose is an extreme sport?,What is the relationship between an astronaut and an extreme sport?,What is an astronaut's sport?,Astronaut
1616,Yuri Gagarin's residence was in the Soviet Union.,Who lived in the Soviet Union?,Where was Yuri Gagarin?,Where was Yuri Gagarin's residence?,Astronaut,A person's residence is in a country.,What person's residence is in a country?,What is the relation between a person and a country?,What country is a person's residence?,Astronaut
1617,Yuri Gagarin's residence was in the Soviet Union.,Who lived in the Soviet Union?,Where was Yuri Gagarin?,Where was Yuri Gagarin's residence?,Astronaut,An astronaut's residence was in Northern Asia.,Whose residency was in Northern Asia?,What was the relationship between an astronaut and Northern Asia?,Where was an astronaut's residency?,Astronaut
1618,Alexey Gagarin is the father of Yuri Gagarin.,Who is Alexey Gagarin's father?,What is Alexey Gagarin's occupation?,Who is the father of Yuri Gagarin?,Astronaut,A person is the father of a person.,What person has a father?,What is the relation between two people?,What is the father of a person?,Astronaut
1619,Alexey Gagarin is the father of Yuri Gagarin.,Who is Alexey Gagarin's father?,What is Alexey Gagarin's occupation?,Who is the father of Yuri Gagarin?,Astronaut,Alexey Gagarin is the father of a cosmonaut.,Who is the father of a cosmonaut?,What is the relationship between Alexey Gagarin and a cosmonaut?,Whose father is Alexey Gagarin?,Astronaut
1620,Garrett Reisman's doctoral advisor was Christopher E. Brennen.,Who was Christopher Brennen's doctoral advisor?,What was Garrett Reisman's position?,Who was Garrett Reisman's doctoral advisor?,Astronaut,A person's doctoral advisor is a person.,What person's doctoral advisor is a person?,What is the relation between two people?,What person is a doctoral advisor of a person?,Astronaut
1621,Garrett Reisman's doctoral advisor was Christopher E. Brennen.,Who was Christopher Brennen's doctoral advisor?,What was Garrett Reisman's position?,Who was Garrett Reisman's doctoral advisor?,Astronaut,An astronaut's doctoral advisor was an engineering professor.,Whose doctoral advisor was an engineering professor?,What is the relationship between an astronaut and an engineering professor?,Who is an astronaut's medical advisor?,Astronaut
1622,Cosmo the Spacedog is different from Cosmo.,What is different from Cosmo?,How does Cosmo compare to Cosmo?,What is the name of the spacedog?,Astronaut,A fictional character is different from a fictional character.,What fictional character is different from a fictional character?,What is the relation between two fictional characters?,What fictional character is different from a fictional character?,Astronaut
1623,Cosmo the Spacedog is different from Cosmo.,What is different from Cosmo?,How does Cosmo compare to Cosmo?,What is the name of the spacedog?,Astronaut,A comic character is different from a fictional character.,Who is different from a fictional character?,What is the relationship between a comic character and a fictional character?,Who is different from a comic character?,Astronaut
1624,Pete Conrad has 4 children.,Who has 4 children?,How many children does Pete Conrad have?,How many children does Pete Conrad have?,Astronaut,A person has a number of children.,What person has a number of children?,What is the relation between a person and a number of children?,How many children does a person have?,Astronaut
1625,Pete Conrad has 4 children.,Who has 4 children?,How many children does Pete Conrad have?,How many children does Pete Conrad have?,Astronaut,An astronaut has 4 children.,Who has 4 children?,What is the relationship between an astronaut and 4 children? ,What an astronaut has?,Astronaut
1626,Evil-Lyn has a superhuman feature or ability called necromancy.,What superhuman is necromancy?,What is necromancy?,What is Evil-Lyn's superhuman ability called?,Astronaut,A fictional character has a superhuman feature of ability.,What fictional character has a superhuman feature or ability?,What is the relation between a fictional character and a superhuman feature or ability?,What superhuman feature or ability does a fictional character have?,Astronaut
1627,Evil-Lyn has a superhuman feature or ability called necromancy.,What superhuman is necromancy?,What is necromancy?,What is Evil-Lyn's superhuman ability called?,Astronaut,A fictional character has a superhuman feature or ability called magic ,Who has a superhuman feature or ability called magic?,What is the relationship between a fictional character and a superhuman feature or ability called magic? ,What superhuman feature or ability has a fictional character? ,Astronaut
1628,Soichi Noguchi is a dish from the ethnic group of Japanese people.,What is the name of the dish from the ethnic group of Japanese people?,What group of people makes Soichi Noguchi?,What ethnic group is Soichi Noguchi from?,Astronaut,-,-,-,-,Astronaut
1629,Soichi Noguchi is a dish from the ethnic group of Japanese people.,What is the name of the dish from the ethnic group of Japanese people?,What group of people makes Soichi Noguchi?,What ethnic group is Soichi Noguchi from?,Astronaut,An astronaut's name is a dish from the ethnic group of Japan,Whose name is a dish from the ethnic group of Japan?,What is the relationship between an astronaut and Japan? and ,Whose ethnic group's dish has an astronaut's name? ,Astronaut
1630,Steven Taylor performs with Peter Purves.,Who performs with Peter Purves?,What is Steven Taylor's profession?,Who does Steven Taylor perform with?,Astronaut,A fictional character performs with a person.,What fictional character performs with a person?,What is the relation between a fictional character and a person?,What person does a fictional character perform with?,Astronaut
1631,Steven Taylor performs with Peter Purves.,Who performs with Peter Purves?,What is Steven Taylor's profession?,Who does Steven Taylor perform with?,Astronaut,A fictional character performs with an actor.,Who performs with an actor?,What is the relationship between a fictional character and an actor?,Who performs with an actor?,Astronaut
1632,Luca Parmitano's birth name is Luca Salvo Parmitano.,What is the birth name of Luca Parmitano?,What is Luca Parmitano's birth name?,What is Luca Parmitano's birth name?,Astronaut,A person's birth name is a name.,What person's birthname is a name?,What is the relation between a person and a name?,What is the birth name of a person?,Astronaut
1633,Luca Parmitano's birth name is Luca Salvo Parmitano.,What is the birth name of Luca Parmitano?,What is Luca Parmitano's birth name?,What is Luca Parmitano's birth name?,Astronaut,An astronaut's birth name is Luca Salvo Parmitano.,Whose birth name is Luca Salvo Parmitano?,What is the relationship between an astronaut and Luca Salvo Parmitano?,What is an astronaut's birth name?,Astronaut
1634,Void is from the narrative universe Wildstorm Universe.,What is the name of the story in the Wildstorm Universe?,Where is Void from?,Void is from what narrative universe?,Astronaut,A fictional character is from a fictional universe.,What fictional character is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,What fictional universe is a fictional character from?,Astronaut
1635,Void is from the narrative universe Wildstorm Universe.,What is the name of the story in the Wildstorm Universe?,Where is Void from?,Void is from what narrative universe?,Astronaut,A comic is from the narrative of a fictional universe.,What is from the narrative of a fictional universe?,What is the relationship between a comic and a fictional universe?,Where comes the narrative of a comic?,Astronaut
1636,She-Hulk is the spouse of John Jameson.,Who is She-Hulk's husband?,What is She-Hulk's relationship to John Jameson?,Who is John Jameson's spouse?,Astronaut,A person is the spouse of a person?,What person's spouse is a person?,What is the relation between two people?,Who is the spouse of a person?,Astronaut
1637,She-Hulk is the spouse of John Jameson.,Who is She-Hulk's husband?,What is She-Hulk's relationship to John Jameson?,Who is John Jameson's spouse?,Astronaut,A fictional character is the spouse of a fictional character.,Who is the spouse of a fictional character?,What is the relationship between a fictional character and a fictional character?,Whose spouse is a fictional character?,Astronaut
1638,"Фаткуллин, Марс Нургалиевич has an academic degree of Doctor of Sciences in Physics and Mathematics.",Who has a degree of Doctor of Science in Physics and Mathematics?,What is the degree in Physics and Mathematics?,,Astronaut,A person has an academic degree.,in Physics and Mathematics.,What is the relation between a person and an academic degree?,What academic degree does a person have?,Astronaut
1639,"Фаткуллин, Марс Нургалиевич has an academic degree of Doctor of Sciences in Physics and Mathematics.",Who has a degree of Doctor of Science in Physics and Mathematics?,What is the degree in Physics and Mathematics?,,Astronaut,An astronaut has an academic degree of higher education.,Who has an academic degree of higher educational?,What is the relationship between an astronaut and higher education?,What academic degree has an astronaut?,Astronaut
1640,Harrison Schmitt's significant event was the walk on the Moon.,Who was the walk on the moon?,What was the walk on the moon?,What was Harrison Schmitt's significant event?,Astronaut,A person's significant event was an event.,What person's significant event was an event?,What is the relation between a person and an event?,What is a significant event of a person?,Astronaut
1641,Harrison Schmitt's significant event was the walk on the Moon.,Who was the walk on the moon?,What was the walk on the moon?,What was Harrison Schmitt's significant event?,Astronaut,An astronaut's significant event was walking in space.,Whose significant event was walking in space?,What is the relationship between an astronaut and walking in space?,What is a significant event for an astronaut?,Astronaut
1642,Buzz Lightyear was created by Pete Docter.,What was the name of Pete Docter's project?,What was Pete Docter's job?,Who created Buzz Lightyear?,Astronaut,A fictional character was created by a person.,What fictional character was created by a person?,What is the relation between a fictional character and a person?,What person created fictional character?,Astronaut
1643,Buzz Lightyear was created by Pete Docter.,What was the name of Pete Docter's project?,What was Pete Docter's job?,Who created Buzz Lightyear?,Astronaut,A fictional character was created by a film director.,Who was created by a film director?,What is the relationship between a fictional character and a film director?,Who created a fictional character?,Astronaut
1644,Leonid Kizim's allegiance is to Russia.,Who is allegiance to Russia?,What is Kizim's relationship to Russia?,Leonid Kizim's allegiance is to what country?,Astronaut,A person's allegiance is to a country.,What person's allegiance is to a country?,What is the relation between a person and a country?,What country is a person's allegiance?,Astronaut
1645,Leonid Kizim's allegiance is to Russia.,Who is allegiance to Russia?,What is Kizim's relationship to Russia?,Leonid Kizim's allegiance is to what country?,Astronaut,A cosmonaut's allegiance is to Northern Asia.,Whose allegiance is to Northern Asia?,What is the relationship between a cosmonaut and Northern Asia?,Where is an astronaut allegiance to?,Astronaut
1646,John L Finley died of natural causes.,Who died of natural causes?,What was John L Finley's cause of death?,What was John L Finley's cause of death?,Astronaut,A person died of a cause.,What person dies of a cause?,What is the relation between a person and a cause?,What cause did a person die of?,Astronaut
1647,John L Finley died of natural causes.,Who died of natural causes?,What was John L Finley's cause of death?,What was John L Finley's cause of death?,Astronaut,An astronaut died of a cause.,Who died of a cause?,What is the relationship between an astronaut and cause of death?,What an astronaut died of?,Astronaut
1648,Christa McAuliffe's burial place is Arlington National Cemetery.,Whose burial place is Arlington National Cemetery?,What is the name of Christa McAuliffe's place of burial?,Where is Christa McAuliffe buried?,Astronaut,A person's burial place is a cemetery.,What person's burial place is a cemetery?,What is the relation between a person and a cemetery?,What cemetery is a person's burial place?,Astronaut
1649,Christa McAuliffe's burial place is Arlington National Cemetery.,Whose burial place is Arlington National Cemetery?,What is the name of Christa McAuliffe's place of burial?,Where is Christa McAuliffe buried?,Astronaut,An astronaut's burial place is a military cemetery.,Whose burial place is a military cemetery?,What is the relationship between an astronaut and a military cemetery? ,Where is an astronaut's burial place?,Astronaut
1650,Gus Grissom died from a smoke inhalation injury.,Who died from a smoke inhalation injury?,What was Gus Grissom's cause of death?,What caused Gus Grissom to die?,Astronaut,A person died of a cause.,What person died of a cause?,What is the relation between a person and a cause?,What did a person die from?,Astronaut
1651,Gus Grissom died from a smoke inhalation injury.,Who died from a smoke inhalation injury?,What was Gus Grissom's cause of death?,What caused Gus Grissom to die?,Astronaut,An astronaut died from a cause of death?,Who died from a cause of death?,What is the relationshipo between an astronaut and a cause of death?,What an astronaut died of?,Astronaut
1652,Buzz Aldrin is a member of the Republican Party.,Who is a member of the Republican Party?,What is Buzz Aldrin's political affiliation?,What party is Buzz Aldrin a member of?,Astronaut,A person is a member of a political party.,What person is a member of a political party?,What is the relation between a person and a political party?,What political party is a person a member of?,Astronaut
1653,Buzz Aldrin is a member of the Republican Party.,Who is a member of the Republican Party?,What is Buzz Aldrin's political affiliation?,What party is Buzz Aldrin a member of?,Astronaut,An astronaut is a member of a political party?,Who is a member of a political party?,What is the relationship of an astronaut and a political party?,Where is an astronaut member?,Astronaut
1654,Roman Romanenko's native language is Russian.,What is the name of the person who speaks Russian?,What is Roman Romanenko's language?,What is Roman Romanenko's native language?,Astronaut,A person's native language is a language.,What person's native language is a language?,What is the relation between a person and a language?,What language is a person's native language?,Astronaut
1655,Roman Romanenko's native language is Russian.,What is the name of the person who speaks Russian?,What is Roman Romanenko's language?,What is Roman Romanenko's native language?,Astronaut,A cosmonaut's native language is a Slavic language.,Whose native language is a Slavic language?,What is the relationship between a cosmonaut and a Slavic language?,What is the language of a cosmonaut?,Astronaut
1656,Steven Taylor is in Doctor Who.,Who is in Doctor Who?,What is Steven Taylor's role in Doctor Who?,What is Steven Taylor's role in?,Astronaut,A fictional character is in a TV series.,What fictional character is in a TV series?,What is the relation between a fictional character and a TV series?,What TV series is a fictional character in?,Astronaut
1657,Steven Taylor is in Doctor Who.,Who is in Doctor Who?,What is Steven Taylor's role in Doctor Who?,What is Steven Taylor's role in?,Astronaut,A fictional character is in a fiction TV series.,Who is in a fiction TV series?,What is the relationship between a fictional character and a fiction TV series?,Where is a fictional character in?,Astronaut
1658,"Marcos Pontes is the Minister of Science, Technology, Innovations and Communications.","Who is the Minister of Science, Technology, Innovations and Communications?",,What is Marcos Pontes' job title?,Astronaut,A person is a minister.,What person is a minister?,What is the relation between a person and a ministry?,What ministry is a person a minister of?,Astronaut
1659,"Marcos Pontes is the Minister of Science, Technology, Innovations and Communications.","Who is the Minister of Science, Technology, Innovations and Communications?",,What is Marcos Pontes' job title?,Astronaut,An astronaut is a Minister. ,Who is a Minister?,What is the relationship between an astronaut and a Minister?,What is an astronaut?,Astronaut
1660,Vladislav Volkov is described by source in the Armenian Soviet Encyclopedia.,Who is described by source in the Armenian Soviet Encyclopedia?,How is Vladislav Volkov described?,Where is Vladislav Volkov described?,Astronaut,A person is described by source in an encyclopedia.,What person is described by source in an encyclopedia?,What is the relation between a person and an encyclopedia?,What encyclopedia is a person described by?,Astronaut
1661,Vladislav Volkov is described by source in the Armenian Soviet Encyclopedia.,Who is described by source in the Armenian Soviet Encyclopedia?,How is Vladislav Volkov described?,Where is Vladislav Volkov described?,Astronaut,A cosmonaut is described by source in an encyclopedia,Who is described by source in an encyclopedia?,What is the relationship of a cosmonaut and an encyclopedia?,Where is an astronaut described by source?,Astronaut
1662,Warren Hoburg is a member of the NASA Astronaut Group 22.,Who is a member of the NASA Astronaut Group 22?,What NASA group is Warren Hoburg?,What group is Warren Hoburg a member of?,Astronaut,A person is a member of an article.,What person is a member of an article?,What is the relation between a person and an article?,What article is a person a member of?,Astronaut
1663,Warren Hoburg is a member of the NASA Astronaut Group 22.,Who is a member of the NASA Astronaut Group 22?,What NASA group is Warren Hoburg?,What group is Warren Hoburg a member of?,Astronaut,An astronaut candidate is a member of a list article?,Who is a member of a list article?,What is the relationship between an astronaut candidate and a list article?,Where is an astronaut candidate a member?,Astronaut
1664,Charles Bassett died in St. Louis.,Who died in St. Louis?,Where did Charles Bassett die?,Where did Charles Bassett die?,Astronaut,A person died in a city.,What person died in city?,What is the relation between a person and a city?,What city did a person die in?,Astronaut
1665,Charles Bassett died in St. Louis.,Who died in St. Louis?,Where did Charles Bassett die?,Where did Charles Bassett die?,Astronaut,An astronaut died in the United States.,Who died in the United States?,What is the relationship between an astronaut and the United States?,Where an astronaut died?,Astronaut
1666,John L Finley died on 19/09/2006.,Who died on 19/09/2006?,,When did John L Finley die?,Astronaut,A person died on a time.,What person died on a time?,What is the relation between a person and a time?,What time did a person die on?,Astronaut
1667,John L Finley died on 19/09/2006.,Who died on 19/09/2006?,,When did John L Finley die?,Astronaut,An astronaut died on 19/09/2006.,Who died on 19/09/2006?,What is the relationship between an astronaut and 19/09/2006?,When an astronaut died?,Astronaut
1668,Akihiko Hoshide's name in the native language is 星出彰彦.,What is the name of the Japanese actor who is known by his Japanese name?,What is Akihiko Hoshide's name in the native language?,What is Akihiko Hoshide's name in his native language?,Astronaut,A person's name in the native language is a name.,What person's name in the native language is a name?,What is the relation between a person and a name?,What is the name in the native language of a person?,Astronaut
